key;Course;Title;Quarter;Year;Day and Time;Instructor;Total Enrollment after  Phase 1;Seats Available after Phase 1;Phase 1 Price;Total Enrollment after  Phase 2;Seats Available after Phase 2;Phase 2 Price;Total Enrollment after  Phase 1 New Students;Seats Available after Phase 1 New Students;Phase 1 New Students Price;Total Enrollment after  Phase 2 New Students;Seats Available after Phase 2 New Students;Phase 2 New Students Price;Total Enrollment after  Phase 3;Seats Available after Phase 3;Phase 3 Price
42121;42121-81;Merger & Acquisition Strategy;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Morrissette, Stephen;70;CLO;15000;70;CLO;15052;70;CLO;0;70;CLO;0;70;CLO;15040
34106;34106-01;Commercializing Innovation: Tools to Research and Analyze Private Enterprises;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Meadow, Scott;55;CLO;9065;55;CLO;13484;55;CLO;0;55;CLO;0;55;CLO;0
30000;30000-01;Financial Accounting;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Nikolaev, Valeri;3;62;0;4;61;0;65;CLO;0;65;CLO;777;65;CLO;1844
38120;38120-01;The Study of Behavioral Economics;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Dean, Joshua;70;CLO;6012;70;CLO;12007;70;CLO;0;70;CLO;0;70;CLO;0
30000;30000-02;Financial Accounting;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Nikolaev, Valeri;9;56;0;9;56;0;65;CLO;1201;65;CLO;0;64;1;0
30000;30000-03;Financial Accounting;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Nikolaev, Valeri;8;57;0;10;55;0;65;CLO;300;65;CLO;1243;65;CLO;2000
38103;38103-01;Strategies and Processes of Negotiation;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Kirgios, Erika;55;CLO;3250;55;CLO;3000;55;CLO;0;55;CLO;0;55;CLO;5000
30000;30000-04;Financial Accounting;Autumn;2025;Friday, 08:30 am - 11:30 am;Granja, Joao;1;64;0;1;64;0;53;12;0;54;11;0;52;13;0
30000;30000-05;Financial Accounting;Autumn;2025;Friday, 01:30 pm - 04:30 pm;Granja, Joao;5;60;0;5;60;0;39;26;0;47;18;0;48;17;0
42001;42001-01;Competitive Strategy;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Wollmann, Thomas;65;CLO;2100;65;CLO;6035;65;CLO;0;65;CLO;0;65;CLO;5001
30000;30000-06;Financial Accounting;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Errico, Marco;6;59;0;7;58;0;65;CLO;88;65;CLO;1571;65;CLO;375
42001;42001-81;Competitive Strategy;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Wollmann, Thomas;65;CLO;1598;65;CLO;4000;65;CLO;0;65;CLO;0;65;CLO;13505
30000;30000-07;Financial Accounting;Autumn;2025;Thursday, 08:30 am - 11:30 am;Errico, Marco;1;64;0;1;64;0;35;30;0;65;CLO;10;63;2;0
40101;40101-01;Supply Chain Strategy and Practice;Autumn;2025;Monday, 08:30 am - 11:30 am;DeHoratius, Nicole;65;CLO;909;65;CLO;1988;65;CLO;0;65;CLO;0;65;CLO;2543
30121;30121-01;Accounting for Entrepreneurship: From Start-Up through IPO;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Weiss, Ira;65;CLO;500;65;CLO;4091;65;CLO;0;65;CLO;0;65;CLO;1500
36110;36110-81;Application Development;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Betina, Raghu;30;CLO;300;27;3;0;28;2;0;29;1;0;30;CLO;12000
34305;34305-01;Private Equity Transactions;Autumn;2025;Thursday, 3:00 pm - 6:00 pm;Ritchie, Stephen;30;CLO;259;30;CLO;1000;30;CLO;0;30;CLO;0;30;CLO;0
30000;30000-81;Financial Accounting;Autumn;2025;Monday, 6:00 pm - 9:00 pm;Nikolaev, Valeri;12;53;0;12;53;0;30;35;0;30;35;0;33;32;0
34111;34111-01;Entrepreneurial Selling;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Alter, Michael;65;CLO;202;65;CLO;5000;65;CLO;0;65;CLO;0;65;CLO;6747
35222;35222-01;Corporate Governance and Activism - Board and Director Roles in Critical Decisions;Autumn;2025;Thursday, 1:30 pm - 4:30 pm;"Adrianopoli, Carlin; Hessler, Stephen; Schriesheim, Robert";60;CLO;193;60;CLO;15000;60;CLO;0;60;CLO;0;65;CLO;2805
30000;30000-85;Financial Accounting;Autumn;2025;Saturday, 1:30 pm - 4:30 pm;Errico, Marco;9;56;0;8;57;0;29;36;0;28;37;0;36;29;0
30130;30130-01;Financial Statement Analysis;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Minnis, Michael;65;CLO;3238;65;CLO;4207;65;CLO;0;65;CLO;0;65;CLO;3000
30130;30130-81;Financial Statement Analysis;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Minnis, Michael;25;40;0;24;41;0;29;36;0;29;36;0;65;CLO;1
33001;33001-01;Microeconomics;Autumn;2025;Monday, 08:30 am - 11:30 am;Hornbeck, Richard;4;61;0;3;62;0;65;CLO;0;65;CLO;1031;65;CLO;0
33001;33001-02;Microeconomics;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Hornbeck, Richard;3;62;0;5;60;0;62;3;0;65;CLO;1;65;CLO;0
33001;33001-03;Microeconomics;Autumn;2025;Thursday, 08:30 am - 11:30 am;Dizon-Ross, Rebecca;10;55;0;11;54;0;65;CLO;1024;65;CLO;3435;65;CLO;751
33001;33001-04;Microeconomics;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Dizon-Ross, Rebecca;10;55;0;13;52;0;65;CLO;1117;65;CLO;2137;65;CLO;0
33001;33001-05;Microeconomics;Autumn;2025;Friday, 08:30 am - 11:30 am;Dizon-Ross, Rebecca;2;63;0;2;63;0;62;3;0;65;CLO;0;65;CLO;0
33001;33001-06;Microeconomics;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Gibbs, Michael;27;38;0;27;38;0;65;CLO;2401;65;CLO;2209;65;CLO;0
30116;30116-01;Accounting and Financial Analysis;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Christensen, Hans;5;60;0;6;59;0;65;CLO;508;63;2;0;65;CLO;10
30116;30116-02;Accounting and Financial Analysis;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Christensen, Hans;5;60;0;7;58;0;49;16;0;52;13;0;49;16;0
30118;30118-81;Taxes and Business Strategy;Autumn;2025;Monday, 6:00 pm - 9:00 pm;Erickson, Merle;51;14;0;52;13;0;53;12;0;53;12;0;65;CLO;3000
30121;30121-02;Accounting for Entrepreneurship: From Start-Up through IPO;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Weiss, Ira;11;54;0;11;54;0;21;44;0;21;44;0;41;24;0
30121;30121-81;Accounting for Entrepreneurship: From Start-Up through IPO;Autumn;2025;Monday, 6:00 pm - 9:00 pm;Weiss, Ira;33;32;0;33;32;0;33;32;0;33;32;0;41;24;0
30121;30121-85;Accounting for Entrepreneurship: From Start-Up through IPO;Autumn;2025;Saturday, 1:30 pm - 4:30 pm;Weiss, Ira;31;34;0;31;34;0;35;30;0;35;30;0;38;27;0
33001;33001-07;Microeconomics;Autumn;2025;Tuesday, 08:30 am - 11:30 am;McClellan, Andrew;3;62;0;2;63;0;55;10;0;65;CLO;2717;65;CLO;4023
30131;30131-01;Advanced Financial Analysis and Valuation for Global Firms;Autumn;2025;Monday, 01:30 pm - 04:30 pm;McClure, Charles;25;40;0;25;40;0;60;5;0;62;3;0;62;3;0
30131;30131-02;Advanced Financial Analysis and Valuation for Global Firms;Autumn;2025;Monday, 05:00 pm - 08:00 pm;McClure, Charles;8;57;0;8;57;0;10;55;0;12;53;0;12;53;0
30131;30131-03;Advanced Financial Analysis and Valuation for Global Firms;Autumn;2025;Monday, 08:30 am - 11:30 am;McClure, Charles;30;35;0;33;32;0;61;4;0;65;CLO;1000;65;CLO;1
30600;30600-60;Workshop in Accounting Research;Autumn;2025;Thursday, 01:20 pm - 02:50 pm;"Stewart, Christopher; Tomy, Rimmy";3;27;0;3;27;0;3;27;0;3;27;0;5;25;0
30900;30900-50;Foundations of Accounting Research;Autumn;2025;Tuesday, 08:30 am - 11:30 am;"Costello, Anna; Minnis, Michael; Skinner, Douglas";0;20;0;0;20;0;3;17;0;3;17;0;3;17;0
30930;30930-50;Research Seminar in Accounting;Autumn;2025;Wednesday, 10:00 am - 11:30 am;"McClure, Charles; Stewart, Christopher";0;20;0;0;20;0;0;20;0;0;20;0;3;17;0
31403;31403-01;Leadership Studio;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;"Davis, Harry; Tennant, Nancy";15;15;0;12;18;0;30;CLO;10;28;2;0;26;4;0
31403;31403-85;Leadership Studio;Autumn;2025;Saturday, 9:00 am - 12:00 pm;"Davis, Harry; Tennant, Nancy";18;12;0;14;16;0;15;15;0;17;13;0;19;11;0
31425;31425-81;Real Estate and Equity: Leveling the Playing Field;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Valery, Ernst;7;58;0;9;56;0;16;49;0;17;48;0;18;47;0
32120;32120-01;Data Analysis with Python and SQL;Autumn;2025;Monday, 08:30 am - 11:30 am;Kattan, Lara;13;22;0;14;21;0;33;2;0;34;1;0;35;CLO;5000
33001;33001-81;Microeconomics;Autumn;2025;Monday, 6:00 pm - 9:00 pm;Hornbeck, Richard;4;61;0;6;59;0;33;32;0;31;34;0;34;31;0
33001;33001-85;Microeconomics;Autumn;2025;Saturday, 9:00 am - 12:00 pm;Gibbs, Michael;18;47;0;19;46;0;51;14;0;49;16;0;58;7;0
33002;33002-01;Accelerated Microeconomics;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Mountjoy, Jack;13;52;0;12;53;0;70;CLO;1000;70;CLO;3500;70;CLO;0
33002;33002-81;Accelerated Microeconomics;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Mountjoy, Jack;7;58;0;6;59;0;14;51;0;14;51;0;39;26;0
33401;33401-81;Money and Banking;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Huber, Kilian;70;CLO;203;70;CLO;8837;70;CLO;0;70;CLO;0;70;CLO;15024
33401;33401-01;Money and Banking;Autumn;2025;Monday, 08:30 am - 11:30 am;Huber, Kilian;29;36;0;35;30;0;54;11;0;65;CLO;199;63;2;0
33401;33401-02;Money and Banking;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Huber, Kilian;53;12;0;57;8;0;64;1;0;65;CLO;1327;61;4;0
33401;33401-03;Money and Banking;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;Huber, Kilian;32;33;0;37;28;0;55;10;0;58;7;0;65;CLO;1000
34101;34101-02;Entrepreneurial Finance and Private Equity;Autumn;2025;Monday,Wednesday, 01:30 pm - 02:50 pm;Kaplan, Steven;70;CLO;2757;70;CLO;0;70;CLO;0;70;CLO;0;70;CLO;0
