key;Course;Title;Quarter;Year;Day and Time;Instructor;Total Enrollment after  Phase 1;Seats Available after Phase 1;Phase 1 Price;Total Enrollment after  Phase 2;Seats Available after Phase 2;Phase 2 Price;Total Enrollment after  New Students;Seats Available after New Students;New Students Price;Total Enrollment after  Phase 3;Seats Available after Phase 3;Phase 3 Price
30000;30000-01;Financial Accounting;Winter;2026;Tuesday, 08:30 am - 11:30 am;Heltzer, Wendy;53;12;0;49;16;0;;;N/A;51;14;0
30000;30000-02;Financial Accounting;Winter;2026;Tuesday, 1:30 pm - 4:30 pm;Heltzer, Wendy;44;21;0;46;19;0;;;N/A;43;22;0
30000;30000-81;Financial Accounting;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Heltzer, Wendy;26;39;0;26;39;0;40;25;0;54;11;0
30000;30000-85;Financial Accounting;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Kleymenova, Anya;12;53;0;13;52;0;30;35;0;26;39;0
30005;30005-01;Internal Information for Strategic Decisions;Winter;2026;Monday, 08:30 am - 11:30 am;Costello, Anna;70;CLO;0;70;CLO;0;70;CLO;0;70;CLO;8000
30005;30005-02;Internal Information for Strategic Decisions;Winter;2026;Monday, 01:30 pm - 04:30 pm;Costello, Anna;70;CLO;1500;70;CLO;6151;70;CLO;0;70;CLO;5000
30005;30005-85;Internal Information for Strategic Decisions;Winter;2026;Saturday, 9:00 am - 12:00 pm;Costello, Anna;65;CLO;1;65;CLO;804;65;CLO;0;65;CLO;1001
30118;30118-01;Taxes and Business Strategy;Winter;2026;Thursday, 08:30 am - 11:30 am;Weiss, Ira;58;7;0;65;CLO;200;65;CLO;0;65;CLO;2750
30118;30118-02;Taxes and Business Strategy;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Weiss, Ira;45;20;0;65;CLO;131;65;CLO;0;65;CLO;3004
30130;30130-01;Financial Statement Analysis;Winter;2026;Monday, 01:30 pm - 04:30 pm;Smith, Abbie;65;CLO;2601;65;CLO;3593;;;N/A;65;CLO;2000
30130;30130-81;Financial Statement Analysis;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Smith, Abbie;33;32;0;37;28;0;37;28;0;65;CLO;917
30130;30130-85;Financial Statement Analysis;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Smith, Abbie;46;19;0;46;19;0;47;18;0;65;CLO;0
30135;30135-01;AI and Financial Information;Winter;2026;Thursday, 08:30 am - 11:30 am;Levy, Bradford;65;CLO;100;65;CLO;5000;65;CLO;0;65;CLO;2079
30135;30135-81;AI and Financial Information;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Levy, Bradford;65;CLO;1;65;CLO;8000;65;CLO;0;65;CLO;10002
30600;30600-60;Workshop in Accounting Research;Winter;2026;Thursday, 01:20 pm - 02:50 pm;"Stewart, Christopher; Tomy, Rimmy";4;26;0;6;24;0;;;N/A;7;23;0
30906;30906-50;Contracting on Accounting Information;Winter;2026;Tuesday, 01:00 pm - 04:00 pm;Nikolaev, Valeri;7;13;0;7;13;0;;;N/A;7;13;0
32120;32120-01;Data Analysis with Python and SQL;Winter;2026;Monday, 08:30 am - 11:30 am;Kattan, Lara;21;14;0;27;8;0;;;N/A;22;13;0
32120;32120-02;Data Analysis with Python and SQL;Winter;2026;Monday, 01:30 pm - 04:30 pm;Kattan, Lara;33;2;0;33;2;0;;;N/A;35;CLO;2123
32120;32120-81;Data Analysis with Python and SQL;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Kattan, Lara;7;28;0;5;30;0;7;28;0;18;17;0
32210;32210-01;Generative Thinking;Winter;2026;Wednesday, 08:30 am - 11:30 am;Misra, Sanjog;70;CLO;5389;70;CLO;26376;70;CLO;0;70;CLO;20516
33001;33001-01;Microeconomics;Winter;2026;Monday, 08:30 am - 11:30 am;Campos, Christopher;38;27;0;36;29;0;;;N/A;36;29;0
33001;33001-02;Microeconomics;Winter;2026;Monday, 01:30 pm - 04:30 pm;Campos, Christopher;56;9;0;57;8;0;;;N/A;56;9;0
33001;33001-81;Microeconomics;Winter;2026;Monday, 6:00 pm - 9:00 pm;Campos, Christopher;23;42;0;24;41;0;35;30;0;50;15;0
33050;33050-01;Macroeconomics and the Business Environment;Winter;2026;Monday, 05:00 pm - 08:00 pm;Faberman, Jason;23;42;0;30;35;0;;;N/A;28;37;0
33050;33050-85;Macroeconomics and the Business Environment;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Faberman, Jason;29;36;0;25;40;0;25;40;0;26;39;0
33112;33112-01;Business in Historical Perspective;Winter;2026;Monday, 08:30 am - 11:30 am;Hornbeck, Richard;54;11;0;59;6;0;59;6;0;60;5;0
33112;33112-02;Business in Historical Perspective;Winter;2026;Monday, 01:30 pm - 04:30 pm;Hornbeck, Richard;65;CLO;501;65;CLO;4555;65;CLO;0;64;1;0
33112;33112-81;Business in Historical Perspective;Winter;2026;Monday, 6:00 pm - 9:00 pm;Hornbeck, Richard;26;39;0;31;34;0;32;33;0;44;21;0
33450;33450-01;Real Estate Investments I;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Pagliari, Joseph;44;21;0;54;11;0;54;11;0;56;9;0
33450;33450-02;Real Estate Investments I;Winter;2026;Thursday, 08:30 am - 11:30 am;Pagliari, Joseph;25;40;0;31;34;0;;;N/A;28;37;0
33450;33450-85;Real Estate Investments I;Winter;2026;Saturday, 9:00 am - 12:00 pm;Pagliari, Joseph;39;26;0;41;24;0;44;21;0;56;9;0
33471;33471-01;Business, Politics, and Ethics;Winter;2026;Tuesday, 08:30 am - 11:30 am;Barry, Brian;42;CLO;3500;42;CLO;8784;42;CLO;0;42;CLO;9500
33471;33471-02;Business, Politics, and Ethics;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Barry, Brian;42;CLO;4507;42;CLO;14425;42;CLO;0;42;CLO;8118
33471;33471-03;Business, Politics, and Ethics;Winter;2026;Wednesday, 08:30 am - 11:30 am;Barry, Brian;42;CLO;2401;42;CLO;7217;42;CLO;0;42;CLO;9000
33471;33471-81;Business, Politics, and Ethics;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Barry, Brian;10;32;0;10;32;0;11;31;0;42;CLO;1111
33501;33501-81;International Commercial Policy;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Adao, Rodrigo;29;36;0;28;37;0;28;37;0;30;35;0
33610;33610-60;Applied Economics Workshop;Winter;2026;Wednesday, 01:20 pm - 02:50 pm;"Bertrand, Marianne; Kamenica, Emir";4;26;0;4;26;0;;;N/A;4;26;0
33630;33630-60;Workshop: Money and Banking;Winter;2026;Wednesday, 03:00 pm - 05:30 pm;Staff, Staff;1;29;0;1;29;0;;;N/A;1;29;0
33650;33650-60;Workshop in Macro and International Economics;Winter;2026;Monday, 12:00 pm - 01:15 pm;"Lorenzoni, Guido; Vavra, Joseph";1;29;0;1;29;0;;;N/A;1;29;0
33904;33904-50;Microeconomics Reading and Research Seminar;Winter;2026;Wednesday, 04:00 pm - 05:30 pm;"Budish, Eric; Notowidigdo, Matthew";0;22;0;0;22;0;;;N/A;0;22;0
33920;33920-50;Health Economics Literature Seminar;Winter;2026;Monday, 1:30 pm - 3:00 pm;Shapiro, Bradley;1;10;0;1;10;0;;;N/A;3;8;0
